Nazwa stacji,ID sektora,Wys. stacji n.p.m. [m],Moc nadajnika [W]/[dBW],Typ anteny nadawczej,Azymut [°],Pochylenie [°],Ruch generowany [mErl.]/[Mbps],Liczba potrzebnych kanałów,Numery przydzielonych kanałów radiowych,Rzeczywiste prawdopodobieństwo blokady [%],Definicja sąsiedztwa dla HO (ID sektorów)
ABBB000,ABBB0002,337.34,19.95W/13.00dBW,Directional,340.000,0.000,2252.61mErl/2.2526Mbps,7,8,0.24,
ABBC000,ABBC0002,90.43,19.95W/13.00dBW,Directional,10.000,0.000,581.91mErl/0.5819Mbps,4,8,0.00,
ABBD000,ABBD0001,206.09,19.95W/13.00dBW,Directional,50.000,0.000,13877.02mErl/13.8770Mbps,24,24,0.93,
ABBE000,ABBE0001,73.29,19.95W/13.00dBW,Directional,110.000,0.000,2993.88mErl/2.9939Mbps,9,16,0.00,
,ABBE0002,73.29,19.95W/13.00dBW,Directional,340.000,0.000,1382.93mErl/1.3829Mbps,6,8,0.01,
ABBF000,ABBF0002,68.59,19.95W/13.00dBW,Directional,240.000,0.000,14701.40mErl/14.7014Mbps,25,32,0.01,
,ABBF0003,68.59,19.95W/13.00dBW,Directional,90.000,0.000,13918.98mErl/13.9190Mbps,24,24,0.97,
ABBG000,ABBG0001,531.75,19.95W/13.00dBW,Directional,340.000,0.000,2639.62mErl/2.6396Mbps,8,8,0.62,
ABBH000,ABBH0002,201.76,19.95W/13.00dBW,Directional,240.000,15.000,3281.85mErl/3.2819Mbps,9,16,0.00,
ABBI000,ABBI0001,311.00,19.95W/13.00dBW,Directional,50.000,0.000,3329.78mErl/3.3298Mbps,9,16,0.00,
ABBJ000,ABBJ0001,130.22,19.95W/13.00dBW,Directional,300.000,0.000,1661.69mErl/1.6617Mbps,6,8,0.03,
ABBK000,ABBK0001,165.42,19.95W/13.00dBW,Directional,90.000,0.000,275.97mErl/0.2760Mbps,3,8,0.00,
,ABBK0002,165.42,19.95W/13.00dBW,Directional,270.000,0.000,905.90mErl/0.9059Mbps,5,8,0.00,
ABBL000,ABBL0001,74.00,19.95W/13.00dBW,Omni,0.000,0.000,2585.65mErl/2.5856Mbps,8,8,0.55,
ABBM000,ABBM0001,78.04,19.95W/13.00dBW,Omni,0.000,0.000,1943.72mErl/1.9437Mbps,7,8,0.10,
ABBN000,ABBN0001,116.03,19.95W/13.00dBW,Omni,0.000,0.000,11246.02mErl/11.2460Mbps,21,24,0.07,
ABBO000,ABBO0001,69.12,19.95W/13.00dBW,Directional,10.000,0.000,914.90mErl/0.9149Mbps,5,8,0.00,
ABBP000,ABBP0001,79.91,19.95W/13.00dBW,Omni,0.000,0.000,1487.78mErl/1.4878Mbps,6,8,0.02,
ABBQ000,ABBQ0001,184.16,19.95W/13.00dBW,Omni,0.000,0.000,1412.84mErl/1.4128Mbps,6,8,0.01,
ABBR000,ABBR0001,148.47,19.95W/13.00dBW,Omni,0.000,0.000,4049.68mErl/4.0497Mbps,10,16,0.00,
ABBS000,ABBS0001,146.12,19.95W/13.00dBW,Omni,0.000,0.000,1319.90mErl/1.3199Mbps,6,8,0.01,
ABBT000,ABBT0001,75.58,19.95W/13.00dBW,Omni,0.000,0.000,1646.75mErl/1.6467Mbps,6,8,0.03,
ABBU000,ABBU0002,96.15,19.95W/13.00dBW,Directional,320.000,0.000,1529.82mErl/1.5298Mbps,6,8,0.02,
